Concept,Dependency,TaxonomyID
Electric Current,,FUND
Voltage,,FUND
Resistance,,FUND
Electric Charge,Electric Current,FUND
Electron Flow,Electric Current,FUND
Conventional Current,Electric Current,FUND
Potential Difference,Voltage,FUND
Conductivity,Electric Current,FUND
Ohm's Law,Electric Current,FUND
Ohm's Law,Voltage,FUND
Ohm's Law,Resistance,FUND
Power,Voltage,FUND
Power,Electric Current,FUND
Voltage Drop,Voltage,FUND
Current Flow,Electric Current,FUND
Polarity,Voltage,FUND
Positive Terminal,Polarity,FUND
Negative Terminal,Polarity,FUND
Direct Current,Electric Current,FUND
Ground,Voltage,FUND
Common Ground,Ground,FUND
Circuit,Electric Current,FUND
Circuit,Voltage,FUND
Open Circuit,Circuit,FUND
Closed Circuit,Circuit,FUND
Short Circuit,Circuit,FUND
Circuit Node,Circuit,FUND
Series Circuit,Circuit,FUND
Parallel Circuit,Circuit,FUND
Current Limiting,Ohm's Law,FUND
Voltage Division,Voltage,FUND
Voltage Division,Resistance,FUND
Kirchhoff's Current Law,Current Flow,FUND
Kirchhoff's Current Law,Circuit Node,FUND
Kirchhoff's Voltage Law,Voltage Drop,FUND
Kirchhoff's Voltage Law,Circuit,FUND
AC vs DC,Direct Current,FUND
Battery Polarity,Polarity,FUND
Power Supply Voltage,Voltage,FUND
Forward Voltage,Voltage,FUND
Forward Voltage,Polarity,FUND
Reverse Voltage,Voltage,FUND
Reverse Voltage,Polarity,FUND
Electrical Safety,Voltage,FUND
Electrical Safety,Current Flow,FUND
Power Rating,Power,FUND
Heat Dissipation,Power,FUND
Circuit Diagram,Circuit,FUND
Schematic Symbol,Circuit Diagram,FUND
Component Lead,,FUND
Resistor,Resistance,PASS
Resistor,Component Lead,PASS
Resistor Color Code,Resistor,PASS
Resistor Tolerance,Resistor,PASS
Fixed Resistor,Resistor,PASS
Variable Resistor,Resistor,PASS
Potentiometer,Variable Resistor,PASS
Trimmer Resistor,Variable Resistor,PASS
Photoresistor,Resistor,PASS
Light Dependent Resistor,Photoresistor,PASS
Thermistor,Resistor,PASS
Pull-Up Resistor,Resistor,PASS
