ConceptID,ConceptLabel,Dependencies,TaxonomyID
1,Electric Current,,FOUND
2,Voltage,,FOUND
3,Resistance,,FOUND
4,Ohm's Law,2|1|3,FOUND
5,Power,2|1,FOUND
6,Direct Current,1,FOUND
7,Circuit,,FOUND
8,Open Circuit,7|1,FOUND
9,Closed Circuit,7|1,FOUND
10,Short Circuit,9|3,FOUND
11,Series Circuit,7|1,FOUND
12,Parallel Circuit,7|2,FOUND
13,Ground,,FOUND
14,Polarity,2,FOUND
15,Circuit Diagram,7,FOUND
16,Schematic Symbol,15,FOUND
17,Component Lead,,FOUND
18,Positive Terminal,14|17,FOUND
19,Negative Terminal,14|17,FOUND
20,Voltage Drop,2|3|4,FOUND
21,Current Flow,1|9,FOUND
22,Electron Flow,1|21,FOUND
23,Conventional Current,1|22,FOUND
24,Electric Charge,,FOUND
25,Potential Difference,2|24,FOUND
26,Electrical Safety,1|2|10,FOUND
27,Power Rating,5,FOUND
28,Heat Dissipation,5|3|1,FOUND
29,Current Limiting,1|3|4,FOUND
30,Voltage Division,2|11|4,FOUND
31,Kirchhoff's Current Law,1|21|9,FOUND
32,Kirchhoff's Voltage Law,2|20|9,FOUND
33,AC vs DC,6|1,FOUND
34,Battery Polarity,14|18|19,FOUND
35,Power Supply Voltage,2|5,FOUND
36,Common Ground,13|7,FOUND
37,Forward Voltage,2|20|14,FOUND
38,Conductivity,3|1,FOUND
39,Ohm,3,FOUND
40,Volt,2,FOUND
41,Ampere,1,FOUND
42,Watt,5,FOUND
43,Milliampere,41,FOUND
44,Microampere,41,FOUND
45,Kilohm,39,FOUND
46,Megohm,39,FOUND
47,Coulomb,24,FOUND
48,Milliwatt,42,FOUND
49,Overcurrent,1|29,FOUND
50,Fuse Protection,49|10,FOUND
51,Reverse Polarity Damage,14|34,FOUND
52,Static Discharge,24|26,FOUND
53,Battery Safety,26|34|51,FOUND
54,Short Circuit Risk,10|26|49,FOUND
55,Node Voltage,2|9,FOUND
56,Loop Current,1|11|9,FOUND
57,Series Resistance,3|11,FOUND
58,Parallel Resistance,3|12,FOUND
59,Equivalent Resistance,57|58,FOUND
60,Voltage Reference,2|13|36,FOUND
61,Series-Parallel Circuit,11|12,FOUND
62,Current Divider,58|1|12,FOUND
63,Circuit Topology,7|11|12,FOUND
64,Circuit Branch,7|12|55,FOUND
65,Electrical Energy,5|2,FOUND
66,Joule,65,FOUND
67,Watt-Hour,42|65,FOUND
68,Water Pipe Analogy,2|1|3,FOUND
69,Electric Field,24|25,FOUND
70,Insulator,38|3,FOUND
71,Conductor,38|3,FOUND
72,Semiconductor Material,71|70|38,FOUND
73,Static Electricity,24|69,FOUND
74,Electromotive Force,2|25,FOUND
75,Internal Resistance,3|74,FOUND
76,Terminal Voltage,74|75|20,FOUND
77,Nominal Voltage,2|76,FOUND
78,Battery Capacity,24|65,FOUND
79,Battery Cell,74|18|19,FOUND
80,Resistivity,3|38|71,FOUND
81,Voltage Rating,2|27,FOUND
82,Current Rating,1|27,FOUND
83,Charge Carrier,24|71|72,FOUND
84,Circuit Load,7|1|3,FOUND
85,Voltage Source,2|74|79,FOUND
86,Load Current,84|1,FOUND
87,Power Consumption,5|84|86,FOUND
88,Energy Conversion,65|87,FOUND
89,Conductance,3|38,FOUND
90,Current Path,7|1|71,FOUND
91,Circuit Element,7|17,FOUND
92,Circuit Continuity,9|90,FOUND
93,Voltage Threshold,2|37,FOUND
94,Circuit Fault,8|10|92,FOUND
95,Circuit Efficiency,87|88|28,FOUND
96,Resistor,3|4,PASV
97,Resistor Color Code,96,PASV
98,Resistor Tolerance,96|97,PASV
99,Fixed Resistor,96,PASV
100,Variable Resistor,96|3,PASV
101,Potentiometer,100|3,PASV
102,Trimmer Resistor,100|101,PASV
103,Photoresistor,100|3,PASV
104,Light Dependent Resistor,103|100,PASV
105,Thermistor,100|3,PASV
106,Pull-Up Resistor,96|55,PASV
107,Pull-Down Resistor,96|13,PASV
108,Current Limiting Resistor,96|29,PASV
109,Voltage Divider Circuit,96|30|11,PASV
110,Capacitor,2|24,PASV
111,Electrolytic Capacitor,110|14,PASV
112,Ceramic Capacitor,110,PASV
113,Capacitor Polarity,110|14,PASV
114,Capacitance,110|24,PASV
115,RC Time Constant,96|110,PASV
116,RC Circuit,96|110|115,PASV
117,Charging Capacitor,110|116,PASV
118,Discharging Capacitor,110|116,PASV
119,Inductor,1|7,PASV
120,Diode,72|14,PASV
121,LED Polarity,120|14,PASV
122,LED Forward Voltage,120|37,PASV
123,LED Current Rating,120|82,PASV
124,Anode,120|18,PASV
125,Cathode,120|19,PASV
126,220 Ohm Resistor,96|97,PASV
127,330 Ohm Resistor,96|97,PASV
128,1K Resistor,96|97,PASV
129,10K Resistor,96|97,PASV
130,Resistor Symbol,96|16,PASV
131,Brown Band Value,97,PASV
132,Red Band Value,97,PASV
133,Resistor Multiplier Band,97,PASV
134,Gold Tolerance Band,97|98,PASV
135,Quarter Watt Resistor,96|27,PASV
136,Carbon Film Resistor,96|99,PASV
137,Metal Film Resistor,96|99,PASV
138,Rheostat,100|101,PASV
139,NTC Thermistor,105|100,PASV
140,Axial Lead Package,17|96,PASV
141,Radial Lead Package,17|110,PASV
142,Capacitor Symbol,110|16,PASV
143,Capacitor Value Code,110|114,PASV
144,Microfarad,114,PASV
145,Picofarad,114,PASV
146,Nanofarad,114,PASV
147,Capacitor Voltage Rating,110|81,PASV
148,Capacitor Tolerance,114|98,PASV
149,Tantalum Capacitor,110|111,PASV
150,Non-Polarized Capacitor,110|14,PASV
151,Capacitor Dielectric,110|114,PASV
152,Bypass Capacitor,110|35,PASV
153,Diode Symbol,120|16,PASV
154,Diode Band Marking,120|125,PASV
155,Rectifier Diode,120|33,PASV
156,Zener Diode,120|81,PASV
157,Flyback Diode,120|119,PASV
158,Diode Forward Bias,120|37,PASV
159,Diode Reverse Bias,120|158,PASV
160,Diode Current Rating,120|82,PASV
161,Red LED,120|122,PASV
162,Green LED,120|122,PASV
163,Blue LED,120|122,PASV
164,LED Viewing Angle,121|123,PASV
